**ЗАГАЛЬНІ**,,
1000,Невідома помилка,"Це невизначена та непередбачувана помилка. Якщо це сталося, будь ласка, зробіть скріншот помилки та зверніться до служби підтримки, з описом кроків, які призвели до помилки, для з'ясування та усунення проблеми"
1001,Запис не знайдено,"Запис з відповідним параметром запиту не знайдено в базі даних. Будь ласка, перевірте Ваш запит, звірте з документацією та надішліть повторно"
1002,Помилка перетворення XSLT. {0},"Помилка перетворення XSLT. Це трапляється, якщо ми не можемо перетворити  XML документ, використовуючи XSLT шаблон та отримати XML структуру конверта. Будь ласка, зверніть увагу на деталі помилки та конкретний рядок"
1003,Погані дані зображення,"Не вдалося обробити зображення в запиті, спробуйте інший формат та/або властивості зображення"
1004,"Порожнє значення для обов'язкового поля","Ви надіслали порожнє значення для обов’язкового поля. Будь ласка, перевірте параметри запиту та відправте ще раз"
1005,Занадто багато запитів,"Ви надіслали забагато запитів для певної кінцевої точки та користувача. Будь ласка, спробуйте ще раз через 10 хвилин"
1006,Валідація не пройшла. {0},"Помилка виникає якщо будь-які правила перевірки полів не вдалися. Перегляньте деталі помилки, щоб знайти конкретне поле та правило невдалої перевірки"
1007,Документ змінений,"Документ уже змінено. Будь ласка, надішліть запит на оновлений документ, а потім змініть його"
1008,Неправильний XML. {0},"Структура XML невірна, прочитайте опис помилки для уточнення деталей"
1009,Код підтвердження відсутній,"У запиті не вказано код підтвердження. Будь ласка, перевірте свій запит, звірте з документацією та надішліть повторно"
1010,"Будь ласка, спробуйте пізніше. На даний момент відбувається формування файлів","На даний момент відбувається формування файлів. Щоб отримати файли, будь ласка, зачекайте, доки процес формування завершиться, а потім повторіть спробу"
1011,Неочікуваний тип вмісту: {0},"Тип завантаженого документа невірний або не відповідає дозволеним. Допустимі типи: CSV, XLS"
1012,Не вдається обчислити хеш файлу,Додаток не може обчислити хеш надісланого вами файлу
1013,"Поле '{0}' повинно мати довжину від {1} символів",Введена кількість символів менша за мінімально допустиму довжину символів
1014,"Поле '{0}' повинно мати довжину менше {1} символів",Кількість введених символів перевищує максимально допустиму довжину символів
1015,"Поле '{0}' повинно мати довжину від {1} до {2} символів",Введена кількість символів повинна знаходитися в інтервалі валідації
1016,Непідтримувана локаль: {0},Локаль не підтримується системою
1017,{0},"Відбулася перевірка пароля. Пароль повинен бути більш складним та містити латинські символи в нижньому та верхньому регістрах, а також спеціальні символи"
1018,Невірній часовий пояс: {0},Часовий пояс не підтримується системою
1019,Файл не готовий до завантаження,"Файл, який ви запитуєте, не готовий до завантаження. Будь ласка, зачекайте дейкий час та спробуйте ще раз"
1020,"Невірне ім'я файлу: {0}","Ім'я файлу невірне"
1021,Помилка завантаження файлу: {0},"Файл не може бути завантажений. Будь ласка, зверніть увагу на пояснення в повідомленні про помилку"
1022,"Обов'язковий заголовок запиту '{0}'","У цьому запиті обов'язковим є заголовок запиту. Будь ласка, перевірте свій запит, звірте з документацією та надішліть повторно"
1023,"Обов'язковий параметр запиту '{0}'","Необхідний параметр запиту. Будь ласка, перевірте свій запит, порівняйте з документацією та надішліть ще раз"
1024,"Обов'язковий параметр тіла запиту '{0}'","У цьому запиті обов'язково потрібно вказати тіло запиту. Будь ласка, перевірте свій запит, порівняйте з документацією та надішліть повторно"
1025,"Обов'язковий параметр у шляху запиту '{0}'","У цьому запиті необхідний параметр у шляху запиту. Будь ласка, перевірте свій запит, порівняйте з документацією та надішліть ще раз"
1026,Помилка аутентифікації,"Помилка аутентифікації, будь ласка, перевірте, введені вами, дані авторизації. Якщо помилка виникне повторно, будь ласка, запишіть дату та час спроби авторизації та зверніться у службу підтримки"
1027,Термін дії токену автентифікації закінчився або його відкликано,Термін дії токену автентифікації минув або його було скасовано. Для вирішення проблеми авторизуйтеся ще раз
1028,Стандартні виключення Spring MVC: {0},Виникло одне зі стандартних винятків сервера. Перегляньте повідомлення про помилку та перевірте дані запиту на наявність помилок
1029,"Файл '{0}' перевищив максимальний розмір: {1} > {2}","Розмір файлу перевищує ліміт для завантаження. Будь ласка, зверніть увагу на максимальний розмір у коді помилки та спробуйте завантажити файл з меншим розміром."
1030,"Невідповідність типу файлу для зображення '{0}'","Тип файлу зображення не відповідає дозволеним типам файлів. Дозволені типи файлів: png, jpg, jpeg."
1031,"Зображення '{0}' перевищило максимальний розмір: {1}x{2}","Розмір зображення перевищує ліміт для завантаження. Будь ласка, зверніть увагу на максимальний розмір у коді помилки та спробуйте завантажити файл з меншим розміром."
1032,Вкладення {0} не знайдено,"Вкладення з таким UUID не знайдено. Будь ласка, перевірте правильність введеного значення"
1033,"Формат вкладення '{0}' не відповідає формату {1}","Вкладення не може бути завантажено через неправильний формат файлу. Будь ласка, використайте один з дозволених форматів зі списку"
1034,"Джерело зображення '{0}' невірне","Тег image підтримує тільки префікси 'data:' і 'image-uuid:' для атрибута source"
1035,"Атрибут Hash повинен бути вказаний для '{0}'",Атрибут Hash необхідний для підписання документа
1036,"Хеші прикріпленого файлу не збігаються для '{0}'",Перевірте правильність хешів для файлу
1037,Повторне використання пароля неможливе,Не використовуйте попередні паролі
1038,"Будь ласка, прийміть Загальні положення та умови та Політику конфіденційності","Будь ласка, прочитайте та прийміть Загальні положення та умови та Політику конфіденційності."
1039,Прикріплений файл {0} було завантажено іншою поштовою скринькою {1},Прикріплений файл не може бути використано в поточній поштовій скриньці
